question_id,question_type,pillar,dense_ms,sparse_ms,fusion_ms,rerank_ms,ttft_seconds,tokens_per_second,generation_seconds,eval_count_tokens,total_response_time_ms,peak_ram_gb,peak_vram_gb
q001,factual,class_imbalance,1126.22,187.0,0.068,584.64,0.986,54.7,3.621,198,8641.74,17.234,3.438
q002,factual,fraud_detection,1304.66,122.75,0.073,585.64,0.654,55.4,6.229,345,11040.15,17.301,3.438
q003,factual,anomaly_detection,1251.64,203.26,0.069,585.36,1.077,55.0,1.074,59,6331.79,17.378,3.438
q004,factual,class_imbalance,1558.82,199.09,0.08,740.09,0.986,55.2,0.887,49,6516.62,17.412,3.438
q005,factual,class_imbalance,1167.06,189.47,0.069,586.61,1.032,54.9,2.077,114,7205.17,17.477,3.438
q006,comparative,class_imbalance,1412.95,166.53,0.057,794.98,1.242,54.4,10.059,547,15876.45,17.587,3.438
q007,negative,N/A,1109.74,175.07,0.073,583.53,1.06,57.4,0.244,14,5330.8,17.633,3.438
q008,factual,fraud_detection,1575.71,187.17,0.074,773.93,0.957,54.7,2.193,120,7861.4,17.755,3.438
q009,factual,anomaly_detection,1593.38,194.53,0.078,800.25,1.134,54.1,4.026,218,9946.28,17.887,3.438
q010,factual,anomaly_detection,1653.36,135.14,0.07,766.01,1.045,54.4,1.562,85,7373.83,17.99,3.438
q011,factual,anomaly_detection,1716.35,124.37,0.075,825.95,1.021,54.2,1.568,85,7433.87,18.032,3.439
q012,comparative,fraud_detection,2119.84,190.28,0.066,848.99,1.031,54.4,6.099,332,12433.5,18.136,3.439
q013,factual,anomaly_detection,2145.09,127.27,0.072,778.47,1.049,53.7,1.546,83,7939.16,18.224,3.439
q014,comparative,fraud_detection,2170.5,189.02,0.067,863.37,1.509,54.9,0.965,53,7908.03,18.291,3.439
q015,comparative,anomaly_detection,1745.65,268.94,0.081,771.8,0.899,55.8,0.251,14,6105.4,18.346,3.439
q016,factual,anomaly_detection,1620.79,209.98,0.064,749.91,1.16,56.0,0.25,14,6151.73,18.414,3.439
q017,factual,class_imbalance,1437.79,186.29,0.083,804.8,1.454,54.3,1.64,89,7657.23,18.45,3.439
q018,factual,fraud_detection,1627.39,311.57,0.078,817.04,1.037,54.2,1.862,101,7831.25,18.557,3.439
q019,negative,N/A,1159.09,179.03,0.072,599.85,1.219,57.0,0.246,14,5595.35,18.664,3.439
q020,negative,N/A,1310.75,190.84,0.074,600.0,1.069,57.6,0.243,14,5571.23,18.695,3.439
q021,negative,N/A,1144.5,184.68,0.076,595.0,1.014,57.1,0.245,14,5359.05,18.785,3.439
q022,negative,N/A,2646.66,259.52,0.106,1906.78,1.089,57.2,0.245,14,8314.89,18.835,3.439
q023,comparative,class_imbalance,1529.41,188.48,0.077,753.02,1.217,54.4,1.929,105,7776.15,18.912,3.439
q024,comparative,fraud_detection,1142.32,209.05,0.639,601.37,1.028,54.5,4.444,242,9614.52,18.997,3.439
q025,comparative,anomaly_detection,1257.69,198.83,0.071,596.48,1.195,54.2,4.906,266,10326.4,19.193,3.439
q026,comparative,class_imbalance,1299.05,134.32,0.05,673.38,1.199,54.2,6.421,348,11899.95,19.268,3.439
q027,comparative,fraud_detection,1346.9,214.76,0.077,607.13,1.302,54.7,0.987,54,6653.39,19.328,3.439
q028,negative,N/A,1487.18,121.51,0.074,623.51,1.07,56.7,0.247,14,5719.31,19.417,3.439
q029,factual,anomaly_detection,1248.13,212.55,0.078,596.6,1.042,54.9,2.695,148,7987.84,19.54,3.439
q030,factual,anomaly_detection,1738.29,125.41,0.072,1149.68,1.18,54.3,4.846,263,11211.26,19.618,3.439
